From Valeo to LVR to Avoriaz,,1/29/2022,00:45,,,,,,,,,,,,,,,,,,,Number of requests,138
Latitude,Longitude,Distance (m),Elevation (m),RoadSlope (%),Curvature (1/m),BaseSpeed (km/h),BaseTime(s),TrafficSpeed (km/h),TrafficTime(s),SpeedLimit (km/h),Temperature (°C),Pressure (bar),Humidity (%),WindSpeed (km/h),WindDirection (°),Vehicle direction (°),WindSpeed Projection (km/h),SolarIrradiance (W/m2),Distance to nearest charge station (m),Power connector (kW),,Hererouterequesttime',2.6880181
48.7570205,1.9495557,0,170.64,-0.61,0,4.6,0,4.6,0,NaN,5.61,1036.7,91,7.41,220,249.23,6.47,0,4253.849731,50,,TimeparsejsonHereandcalculmissingdata',3.9783304
48.7569165,1.9491398,32.66,169.85,-0.61,0,9.2,12.78,9.2,12.78,NaN,5.61,1036.7,91.01,7.41,220,254.75,6.09,0,4286.508933,50,,weatherrequesttime',29.1570801
48.7567449,1.948185,105.29,169.85,-0.61,-0.02,13.8,31.73,13.8,31.73,NaN,5.61,1036.7,91.02,7.41,220,341.13,-3.83,0,4359.136888,50,,uvindexrequesttime',29.6471312
48.7573242,1.9478846,173.44,169.85,-1.29,0,18.4,45.06,18.4,45.06,NaN,5.61,1036.7,91.03,7.41,220,339.56,-3.66,0,4427.288485,50,,chargerequesttime',47.0298347
48.757571,1.9477451,202.77,169.06,-1.29,0,23,49.65,23,49.65,NaN,5.61,1036.7,91.04,7.41,220,346.52,-4.41,0,4456.624615,50,,distancechargerequesttime',50.0177847
48.757807,1.9476593,229.79,169.06,-0.68,0,23,53.88,23,53.88,NaN,5.6,1036.7,91.05,7.41,220,352.83,-5.04,0,4483.640049,50,,distancechargematrixcalcul',0.0568886
48.7580323,1.9476163,255.07,169.06,-0.68,0.01,23,57.84,23,57.84,NaN,5.6,1036.7,91.06,7.41,220,342.9,-4.03,0,4508.918073,50,,,
48.7583542,1.9474661,292.56,169.06,-0.68,0.05,23,63.71,23,63.71,NaN,5.6,1036.71,91.06,7.41,220,251.99,6.29,0,4546.408811,50,,,
48.7582898,1.9471657,315.74,169.06,0,0,24,67.18,24,67.18,50,5.6,1036.71,91.07,7.41,220,249.22,6.47,0,4569.590288,50,,,
48.7582576,1.947037,325.84,169.06,0,0,25,68.64,25,68.64,50,5.6,1036.71,91.08,7.41,220,251.3,6.33,0,4579.692377,50,,,
48.7579894,1.9458354,418.94,169.06,0,0.00E+00,26,81.53,26,81.53,50,5.6,1036.71,91.09,7.41,220,251.65,6.31,0,4672.790125,50,,,
